Interaction,Gene 1, Gene 2,Mechismo Score
HIST1H2BH	H2AFJ,HIST1H2BH,H2AFJ,2.743030
LIN7A	CASK,LIN7A,CASK,1.880000
HIST3H2BB	HIST1H2AC,HIST3H2BB,HIST1H2AC,1.410000
GNAI1	GNB4,GNAI1,GNB4,4.950000
IL2RG	IL15,IL2RG,IL15,1.900000
UBB	UBA1,UBB,UBA1,2.160000
CTNNB1	CDH7,CTNNB1,CDH7,5.500000
CTNNB1	CDH9,CTNNB1,CDH9,5.500000
UBB	ARHGEF7,UBB,ARHGEF7,4.190000
UBC	STAM,UBC,STAM,2.740000
HLA-B	B2M,HLA-B,B2M,3.657490
RAC1	VAV3,RAC1,VAV3,2.000000
UBB	UCHL5,UBB,UCHL5,1.330000
PLEKHG5	RHOA,PLEKHG5,RHOA,2.360000
IL4	IL13RA1,IL4,IL13RA1,1.780000
UBC	HERC4,UBC,HERC4,3.473600
TUBA1B	TUBB2A,TUBA1B,TUBB2A,2.380000
TUBB4B	TUBA8,TUBB4B,TUBA8,1.390000
PEX19	PEX3,PEX19,PEX3,1.300000
HNRNPR	HNRNPA0,HNRNPR,HNRNPA0,3.966960
TUBB4A	TUBA1B,TUBB4A,TUBA1B,2.080000
UBE2L6	UBE3C,UBE2L6,UBE3C,2.330000
RHOA	SRGAP1,RHOA,SRGAP1,5.268680
IL20RB	IL20RA,IL20RB,IL20RA,1.320000
UBC	POLI,UBC,POLI,3.376720
TP53	MDM2,TP53,MDM2,1.930000
HLA-DRA	HLA-DPB1,HLA-DRA,HLA-DPB1,2.800000
MAPK1	RPS6KA1,MAPK1,RPS6KA1,2.750000
CD48	CD244,CD48,CD244,1.000000
IL2RG	IL2,IL2RG,IL2,1.680000
WDR5	KMT2C,WDR5,KMT2C,1.670000
TUBB4A	TUBA4A,TUBB4A,TUBA4A,1.730000
UBB	HERC6,UBB,HERC6,2.420000
GNAI2	CXCR1,GNAI2,CXCR1,2.090000
GNAI2	CXCR2,GNAI2,CXCR2,2.090000
UBC	ITSN2,UBC,ITSN2,3.376720
SGK1	WNK2,SGK1,WNK2,2.565950
UBC	HUWE1,UBC,HUWE1,1.530000
TUBA1B	TUBB2B,TUBA1B,TUBB2B,2.380000
HNRNPA1	HNRNPA3,HNRNPA1,HNRNPA3,3.875460
HIST1H2AB	HIST3H2BB,HIST1H2AB,HIST3H2BB,2.550320
MSH4	MSH5,MSH4,MSH5,2.800000
ARHGDIA	RAC3,ARHGDIA,RAC3,2.620000
JAK1	TYK2,JAK1,TYK2,2.170000
H2BFS	HIST1H2AC,H2BFS,HIST1H2AC,1.410000
RHOA	ARHGAP8,RHOA,ARHGAP8,5.268680
ZFYVE9	SMAD3,ZFYVE9,SMAD3,1.720000
PARK2	UBB,PARK2,UBB,1.800000
AREL1	UBE2D2,AREL1,UBE2D2,1.640000
PARK2	UBC,PARK2,UBC,3.376720
ADCY7	ADCY4,ADCY7,ADCY4,2.897540
TP53	PPP1R13L,TP53,PPP1R13L,4.752880
H2AFX	HIST1H2BL,H2AFX,HIST1H2BL,4.455460
CDK2	CDK7,CDK2,CDK7,3.680000
AP2A2	AP2B1,AP2A2,AP2B1,2.920000
APAF1	CASP9,APAF1,CASP9,1.110000
FYN	PTPN11,FYN,PTPN11,1.670000
RHOG	ARHGDIG,RHOG,ARHGDIG,1.030000
TUBB4B	TUBA3C,TUBB4B,TUBA3C,1.250000
GNB3	PDCL,GNB3,PDCL,7.512370
RPS27A	HERC3,RPS27A,HERC3,1.010000
ARHGAP32	CDC42,ARHGAP32,CDC42,1.400000
APC	CTNNB1,APC,CTNNB1,5.500000
HLA-C	LILRB1,HLA-C,LILRB1,3.419390
RGS19	GNAI1,RGS19,GNAI1,3.420000
CDC42	ARHGAP1,CDC42,ARHGAP1,1.960000
H2AFV	HIST1H2BH,H2AFV,HIST1H2BH,3.315770
RPS27A	GRB2,RPS27A,GRB2,2.700000
SLIT2	ROBO1,SLIT2,ROBO1,5.020000
NUP153	RAN,NUP153,RAN,2.723340
UBE2D3	CBLB,UBE2D3,CBLB,2.140000
GNG4	GNB4,GNG4,GNB4,3.730000
CCNE2	CDK2,CCNE2,CDK2,4.440820
PTPN6	TYK2,PTPN6,TYK2,1.980000
HIST1H2BJ	HIST1H2AD,HIST1H2BJ,HIST1H2AD,1.010000
RPS27A	HECTD2,RPS27A,HECTD2,2.330000
LIMK1	PAK1,LIMK1,PAK1,2.820000
H2AFX	HIST1H2BM,H2AFX,HIST1H2BM,4.455460
H2AFX	HIST1H2BN,H2AFX,HIST1H2BN,4.455460
RHOA	ARHGEF4,RHOA,ARHGEF4,5.447490
UBE2G1	WWP1,UBE2G1,WWP1,1.690000
SUMO2	SENP2,SUMO2,SENP2,1.730000
GNAI2	CNR1,GNAI2,CNR1,1.510000
RHOA	ARHGEF3,RHOA,ARHGEF3,1.180000
RPS27A	UBA52,RPS27A,UBA52,7.230000
HIST2H3C	HIST1H2AJ,HIST2H3C,HIST1H2AJ,2.160000
GNAT3	CNR1,GNAT3,CNR1,1.510000
CALM2	SCN8A,CALM2,SCN8A,5.290760
ATG7	MAP1LC3A,ATG7,MAP1LC3A,2.530000
KRT15	KRT85,KRT15,KRT85,1.820000
UBE2L6	UBE3A,UBE2L6,UBE3A,2.280000
UBA52	GRB2,UBA52,GRB2,2.700000
KMT2D	WDR5,KMT2D,WDR5,2.930000
KRT15	KRT83,KRT15,KRT83,1.830000
PRKAB2	ULK1,PRKAB2,ULK1,2.420000
ERBB2	PTK6,ERBB2,PTK6,3.020000
TUBB3	TUBA3C,TUBB3,TUBA3C,1.250000
UBE2A	UBA52,UBE2A,UBA52,7.230000
PLCG1	GRB2,PLCG1,GRB2,2.960000
NSD2	HIST1H3E,NSD2,HIST1H3E,3.000000
PLXNB1	RHOA,PLXNB1,RHOA,1.400000
GRB2	LCP2,GRB2,LCP2,1.510000
RHOC	ARHGEF12,RHOC,ARHGEF12,3.753460
RET	SRC,RET,SRC,2.790000
ARF4	COPG2,ARF4,COPG2,4.967490
YWHAQ	SFN,YWHAQ,SFN,3.748820
HLA-DRB1	HLA-DPA1,HLA-DRB1,HLA-DPA1,1.780000
LYN	BTK,LYN,BTK,3.350000
RHOA	ARHGEF12,RHOA,ARHGEF12,5.447490
RHOA	ARHGAP26,RHOA,ARHGAP26,5.268680
NTRK1	SHC2,NTRK1,SHC2,7.400000
CCND1	CDK6,CCND1,CDK6,2.530000
AKT1	AKT2,AKT1,AKT2,4.700000
LCK	PTPN22,LCK,PTPN22,2.943050
TEC	ITK,TEC,ITK,2.430000
RHOC	ARHGAP26,RHOC,ARHGAP26,8.454330
DNM2	DNM1,DNM2,DNM1,1.150000
POLR2F	POLR2G,POLR2F,POLR2G,1.260000
BRCA1	BARD1,BRCA1,BARD1,1.150000
CSF2RA	CSF2RB,CSF2RA,CSF2RB,1.340000
HLA-F	LILRA2,HLA-F,LILRA2,1.710000
CD8A	HLA-A,CD8A,HLA-A,1.880000
DNM1	DNM3,DNM1,DNM3,1.150000
KRT28	KRT84,KRT28,KRT84,2.240000
HNRNPR	HNRNPA1,HNRNPR,HNRNPA1,4.726640
LAMC1	NID2,LAMC1,NID2,3.490000
SUMO2	SENP1,SUMO2,SENP1,2.460000
F2	SERPINE2,F2,SERPINE2,3.200000
SHC1	CSK,SHC1,CSK,2.590110
SKP1	BTRC,SKP1,BTRC,2.940000
PPARG	NCOA2,PPARG,NCOA2,2.510000
TNF	TNFRSF1B,TNF,TNFRSF1B,2.540000
C5	C6,C5,C6,1.220000
KRT5	KRT15,KRT5,KRT15,1.390000
SIRPA	CD47,SIRPA,CD47,3.108800
PPP2R1A	PPP2CA,PPP2R1A,PPP2CA,1.960000
IL1RL1	IL1RAP,IL1RL1,IL1RAP,3.800000
CHUK	AKT1,CHUK,AKT1,2.760000
EPHB2	EFNA5,EPHB2,EFNA5,1.850000
IL2RA	IL2,IL2RA,IL2,2.140000
HLA-DQA2	HLA-DRB1,HLA-DQA2,HLA-DRB1,1.850000
KRT17	KRT74,KRT17,KRT74,1.320000
TUBA4A	TUBB2B,TUBA4A,TUBB2B,3.783570
UBE2N	TRAF6,UBE2N,TRAF6,1.470000
SMAD4	SMAD5,SMAD4,SMAD5,1.320000
PDCL	GNB4,PDCL,GNB4,4.289340
OSBP	VAPA,OSBP,VAPA,3.130000
RHOA	NGEF,RHOA,NGEF,1.800000
UBA6	UBC,UBA6,UBC,2.600000
GRIA1	GRIA4,GRIA1,GRIA4,2.880000
UBA6	UBB,UBA6,UBB,4.190000
RPS27A	UBA3,RPS27A,UBA3,1.370000
CLTB	CLTC,CLTB,CLTC,1.980000
CHUK	AKT2,CHUK,AKT2,3.756120
RALA	EXOC8,RALA,EXOC8,5.216700
UBA52	PACSIN1,UBA52,PACSIN1,7.230000
STK11	STRADA,STK11,STRADA,2.875430
CALM2	CAMK2A,CALM2,CAMK2A,4.780000
HIST1H2AC	HIST1H2BA,HIST1H2AC,HIST1H2BA,1.220000
HLA-A	LILRA2,HLA-A,LILRA2,1.710000
TEAD4	WWTR1,TEAD4,WWTR1,2.360000
TRIM11	TRIM39,TRIM11,TRIM39,3.430000
IGF1	IGFBP6,IGF1,IGFBP6,2.290000
IGF1	IGFBP5,IGF1,IGFBP5,1.290000
HLA-B	B2M,HLA-B,B2M,3.657490
HNRNPA1	HNRNPA2B1,HNRNPA1,HNRNPA2B1,1.780000
RHOC	NGEF,RHOC,NGEF,3.753460
LCK	PLCG1,LCK,PLCG1,7.255820
RAF1	PAK1,RAF1,PAK1,2.820000
KRT6B	KRT19,KRT6B,KRT19,1.360000
HNRNPR	RBMX,HNRNPR,RBMX,2.965370
CUL2	CUL5,CUL2,CUL5,1.570000
MAPKAPK2	MAPK14,MAPKAPK2,MAPK14,2.710000
HIST1H2AB	HIST1H2BL,HIST1H2AB,HIST1H2BL,1.530000
HIST1H2AB	HIST1H2AJ,HIST1H2AB,HIST1H2AJ,1.380000
HIST1H2AB	HIST1H2BM,HIST1H2AB,HIST1H2BM,2.550320
UBB	CDC34,UBB,CDC34,3.770000
RHOB	DIAPH3,RHOB,DIAPH3,3.167910
HLA-DQA2	HLA-DRB1,HLA-DQA2,HLA-DRB1,2.150000
HIST1H2AB	HIST1H2BN,HIST1H2AB,HIST1H2BN,2.550320
CDK1	INCENP,CDK1,INCENP,3.975450
UBA52	HERC3,UBA52,HERC3,1.010000
TP53	CCNA2,TP53,CCNA2,2.220000
OPHN1	CDC42,OPHN1,CDC42,2.244300
H2BFS	HIST2H4B,H2BFS,HIST2H4B,1.610000
ANK3	SPTBN4,ANK3,SPTBN4,3.130000
ADCY6	GNAS,ADCY6,GNAS,3.360000
ARHGDIA	RAC1,ARHGDIA,RAC1,3.947890
HIST1H3E	CHD3,HIST1H3E,CHD3,3.000000
RHOC	ARHGEF3,RHOC,ARHGEF3,1.180000
RHOC	ARHGEF4,RHOC,ARHGEF4,3.753460
HLA-B	LILRB2,HLA-B,LILRB2,1.680000
ELOC	ASB8,ELOC,ASB8,1.030000
KRT81	KRT12,KRT81,KRT12,1.300000
UBB	UBA5,UBB,UBA5,4.190000
UBB	HECW2,UBB,HECW2,2.220000
YWHAQ	YWHAE,YWHAQ,YWHAE,1.180000
LIMK1	PAK2,LIMK1,PAK2,1.420000
UBB	CUL3,UBB,CUL3,3.010000
RAB5A	RABGEF1,RAB5A,RABGEF1,3.757890
UBB	CUL4A,UBB,CUL4A,3.060000
HIST2H4B	HIST1H2BA,HIST2H4B,HIST1H2BA,1.610000
ANK1	SPTBN1,ANK1,SPTBN1,3.320000
UBB	CUL1,UBB,CUL1,1.150000
UBB	CUL2,UBB,CUL2,2.710000
BCR	CDC42,BCR,CDC42,2.550000
POLD2	POLD3,POLD2,POLD3,1.900000
ATG7	GABARAPL2,ATG7,GABARAPL2,2.530000
STAT5A	STAT5B,STAT5A,STAT5B,1.290000
UBB	UBE2A,UBB,UBE2A,3.770000
GNAZ	RGS4,GNAZ,RGS4,1.170000
HLA-B	LILRA2,HLA-B,LILRA2,1.710000
GNAS	ADCY2,GNAS,ADCY2,3.710000
RHOC	ARHGDIA,RHOC,ARHGDIA,3.753460
GNB2	GNAS,GNB2,GNAS,3.160000
SKI	SMAD4,SKI,SMAD4,1.460000
UBC	SH3RF1,UBC,SH3RF1,3.376720
EPHA3	EFNB1,EPHA3,EFNB1,3.110000
KRT3	KRT17,KRT3,KRT17,2.060000
RALA	EXOC2,RALA,EXOC2,3.602240
HIST1H2AC	H2AFJ,HIST1H2AC,H2AFJ,2.743030
HLA-B	B2M,HLA-B,B2M,3.657490
HLA-A	B2M,HLA-A,B2M,3.657490
NOTCH1	JAG2,NOTCH1,JAG2,1.510000
HLA-F	LILRB1,HLA-F,LILRB1,3.237890
TUBA4A	TUBB6,TUBA4A,TUBB6,3.783570
SRC	SYK,SRC,SYK,3.350000
SUMO1	UBE2I,SUMO1,UBE2I,1.970000
CASC3	EIF4A3,CASC3,EIF4A3,1.050000
ISG15	HERC5,ISG15,HERC5,3.630000
CUL3	KBTBD8,CUL3,KBTBD8,2.120000
IL1B	IL1R1,IL1B,IL1R1,1.230000
TNFSF14	LTBR,TNFSF14,LTBR,1.140000
B2M	LILRB2,B2M,LILRB2,2.160000
HLA-B	LILRA2,HLA-B,LILRA2,1.710000
PRKAA1	STK11,PRKAA1,STK11,4.362260
GNGT2	GNB4,GNGT2,GNB4,2.980000
HLA-A	LILRA2,HLA-A,LILRA2,1.710000
GNB2	PDCL,GNB2,PDCL,1.770000
S1PR1	GNAI1,S1PR1,GNAI1,4.608130
RHOA	ARHGAP1,RHOA,ARHGAP1,5.268680
UBC	UBE2V2,UBC,UBE2V2,3.376720
EPHB3	EPHA4,EPHB3,EPHA4,4.070000
RHOC	BCR,RHOC,BCR,2.550000
UBB	UBE2W,UBB,UBE2W,3.770000
UBC	ITSN1,UBC,ITSN1,3.376720
EPHB3	EPHB1,EPHB3,EPHB1,2.270000
EPHB3	EPHB4,EPHB3,EPHB4,4.070000
GNAT3	GNAI2,GNAT3,GNAI2,2.400000
IGF1	IGFBP4,IGF1,IGFBP4,3.710000
SUMO3	SENP1,SUMO3,SENP1,2.460000
RAC1	PAK2,RAC1,PAK2,1.490000
MAGOH	DDX39B,MAGOH,DDX39B,3.150000
RRAGC	RRAGD,RRAGC,RRAGD,3.550000
H2AFZ	HIST2H2BE,H2AFZ,HIST2H2BE,2.760000
UBE2D3	WWP1,UBE2D3,WWP1,1.650000
GNAT3	RGS4,GNAT3,RGS4,3.810540
IL7	IL7R,IL7,IL7R,1.730000
GNAI2	RGS19,GNAI2,RGS19,2.400000
EME2	MUS81,EME2,MUS81,2.850000
GNAT3	RGS19,GNAT3,RGS19,3.810540
GNAI2	RGS4,GNAI2,RGS4,2.400000
YWHAG	YWHAE,YWHAG,YWHAE,1.360000
LCK	CSK,LCK,CSK,3.230000
F2	THBD,F2,THBD,3.000000
H2AFZ	HIST1H2BA,H2AFZ,HIST1H2BA,1.220000
HLA-B	LILRB2,HLA-B,LILRB2,1.680000
CAMK2B	CAMK2A,CAMK2B,CAMK2A,1.560000
NOS3	CALM2,NOS3,CALM2,1.880000
RPS27A	UBE2I,RPS27A,UBE2I,2.920000
NECTIN2	NECTIN3,NECTIN2,NECTIN3,2.600000
RASGRF2	HRAS,RASGRF2,HRAS,2.000000
KRT85	KRT33B,KRT85,KRT33B,1.510000
UBC	PACSIN1,UBC,PACSIN1,3.376720
PHF2	HIST1H3E,PHF2,HIST1H3E,3.307510
RPS27A	ITSN1,RPS27A,ITSN1,1.780000
BIRC3	TAB1,BIRC3,TAB1,1.960000
ADCY6	GNAZ,ADCY6,GNAZ,3.360000
RASGRF2	KRAS,RASGRF2,KRAS,4.794170
RAC1	PAK1,RAC1,PAK1,3.698820
NRAS	RASA1,NRAS,RASA1,1.490000
BCL2	PMAIP1,BCL2,PMAIP1,2.250000
SHC1	GRB2,SHC1,GRB2,2.320000
HLA-B	B2M,HLA-B,B2M,3.657490
NEDD4	UBE2M,NEDD4,UBE2M,2.040000
RAC1	DOCK8,RAC1,DOCK8,3.698820
PTPN6	GRB2,PTPN6,GRB2,2.960000
HLA-A	B2M,HLA-A,B2M,3.657490
YES1	KIT,YES1,KIT,2.770000
RPS13	RPS27L,RPS13,RPS27L,3.310320
CCND1	CDKN1A,CCND1,CDKN1A,2.040000
HLA-C	B2M,HLA-C,B2M,3.657490
ARHGAP32	RAC1,ARHGAP32,RAC1,1.400000
EPHB2	EPHB3,EPHB2,EPHB3,2.060000
UBA52	UBE2R2,UBA52,UBE2R2,1.770000
JAG1	NOTCH3,JAG1,NOTCH3,1.540000
PLAU	PLAUR,PLAU,PLAUR,2.400000
HLA-A	B2M,HLA-A,B2M,3.657490
GNAT3	RGS18,GNAT3,RGS18,3.810540
EPHB2	EPHA4,EPHB2,EPHA4,2.210000
TUBB6	TUBA8,TUBB6,TUBA8,1.110000
EPHB2	EPHB1,EPHB2,EPHB1,2.270000
RHOG	VAV3,RHOG,VAV3,3.206160
YES1	EPHA8,YES1,EPHA8,3.200000
HIST2H2BE	H2AFV,HIST2H2BE,H2AFV,2.760000
KDM1A	RCOR1,KDM1A,RCOR1,1.030000
YES1	EPHA3,YES1,EPHA3,3.548230
CCND1	CDKN1B,CCND1,CDKN1B,1.650000
CDC42	ARHGAP29,CDC42,ARHGAP29,1.250000
CUL2	RNF7,CUL2,RNF7,1.240000
NLGN1	NRXN1,NLGN1,NRXN1,2.559930
GINS1	GINS4,GINS1,GINS4,1.250000
FGFR4	FGF8,FGFR4,FGF8,1.410000
TUBA1B	TUBB6,TUBA1B,TUBB6,2.380000
ARNTL	NPAS2,ARNTL,NPAS2,2.350000
EIF4A1	EIF4G1,EIF4A1,EIF4G1,5.654620
HIF1A	HIF1AN,HIF1A,HIF1AN,1.420000
RPS2	RPS15A,RPS2,RPS15A,2.145550
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
LILRA1	HLA-B,LILRA1,HLA-B,3.400000
HSPG2	NID2,HSPG2,NID2,3.490000
HLA-B	LILRB2,HLA-B,LILRB2,1.680000
HLA-B	LILRA2,HLA-B,LILRA2,1.710000
EP300	HIF1A,EP300,HIF1A,1.840000
HIST1H2BH	HIST1H2AJ,HIST1H2BH,HIST1H2AJ,1.070000
CUL3	BTBD6,CUL3,BTBD6,2.120000
UBA6	RPS27A,UBA6,RPS27A,2.280000
COL5A2	COL5A1,COL5A2,COL5A1,1.690000
HLA-A	LILRA2,HLA-A,LILRA2,1.710000
UBE2L3	UBE3A,UBE2L3,UBE3A,3.660000
FRS3	FGFR1,FRS3,FGFR1,3.350000
HLA-B	B2M,HLA-B,B2M,3.657490
RAC1	ARHGAP27,RAC1,ARHGAP27,4.054650
UBC	UBE2E2,UBC,UBE2E2,3.376720
KRT5	KRT12,KRT5,KRT12,1.730000
SOCS1	ELOC,SOCS1,ELOC,1.590000
FGFR3	FGF8,FGFR3,FGF8,3.140000
HSPA4	BAG5,HSPA4,BAG5,1.090000
UBA6	UBA52,UBA6,UBA52,7.230000
UBE2E3	HERC5,UBE2E3,HERC5,1.420000
CDK7	CDK9,CDK7,CDK9,3.870000
FLT1	VEGFB,FLT1,VEGFB,1.530000
FLT1	PGF,FLT1,PGF,1.530000
HIST3H2BB	H2AFJ,HIST3H2BB,H2AFJ,2.743030
RBX1	CUL2,RBX1,CUL2,2.050000
BAG3	HSPA8,BAG3,HSPA8,2.600000
RBX1	CUL3,RBX1,CUL3,4.050000
RBX1	CUL1,RBX1,CUL1,2.050000
PDGFRB	PLCG1,PDGFRB,PLCG1,2.720000
UBB	USP5,UBB,USP5,4.190000
RAC1	DOCK2,RAC1,DOCK2,1.170000
HLA-B	B2M,HLA-B,B2M,3.657490
HIST2H4B	HIST3H2BB,HIST2H4B,HIST3H2BB,1.610000
UBA52	UBE2V1,UBA52,UBE2V1,7.230000
FYN	BTK,FYN,BTK,3.350000
CD8A	HLA-A,CD8A,HLA-A,1.880000
HRAS	BRAF,HRAS,BRAF,5.980000
CTNNB1	TCF7L2,CTNNB1,TCF7L2,5.500000
UBB	SNX18,UBB,SNX18,4.190000
HIST1H2BJ	H2AFV,HIST1H2BJ,H2AFV,3.315770
UBB	USP9X,UBB,USP9X,4.190000
MET	HGF,MET,HGF,3.133400
SKIL	SMAD2,SKIL,SMAD2,1.870000
SRC	PTK2B,SRC,PTK2B,3.750000
TRIM21	TRIM39,TRIM21,TRIM39,1.420000
NPPA	NPR1,NPPA,NPR1,1.310000
PLAU	SERPINE1,PLAU,SERPINE1,4.000000
LYN	TEC,LYN,TEC,3.450000
UBA52	UBE2D4,UBA52,UBE2D4,7.230000
PLAU	SERPINB2,PLAU,SERPINB2,4.000000
UBB	USP7,UBB,USP7,1.770000
CDKN2B	CDK6,CDKN2B,CDK6,2.890000
ADCY6	GNAI2,ADCY6,GNAI2,2.400000
KRT14	KRT3,KRT14,KRT3,1.420000
UBB	UIMC1,UBB,UIMC1,1.130000
EP300	EPAS1,EP300,EPAS1,1.840000
GNAI2	RGS18,GNAI2,RGS18,1.830000
UBC	UBE2I,UBC,UBE2I,2.330000
F2	SERPINC1,F2,SERPINC1,4.220000
PRMT5	WDR77,PRMT5,WDR77,1.220000
FYN	VAV2,FYN,VAV2,4.480000
NRAS	RAF1,NRAS,RAF1,4.685430
B2M	HLA-C,B2M,HLA-C,3.657490
RGS20	GNAZ,RGS20,GNAZ,2.000000
UBB	HECW1,UBB,HECW1,1.070000
HLA-C	LILRA2,HLA-C,LILRA2,1.710000
PLXNA2	SEMA6A,PLXNA2,SEMA6A,1.250000
TEC	GRB2,TEC,GRB2,2.320000
ARL1	ARFIP2,ARL1,ARFIP2,2.328050
SRGAP2	RAC1,SRGAP2,RAC1,4.054650
RRAGA	RRAGD,RRAGA,RRAGD,1.630000
HIST1H3E	KDM5D,HIST1H3E,KDM5D,3.980000
RGS13	GNAI2,RGS13,GNAI2,2.400000
RBBP5	KMT2C,RBBP5,KMT2C,1.670000
GNAT3	RGS5,GNAT3,RGS5,2.200000
ZFYVE9	SMAD2,ZFYVE9,SMAD2,1.490000
PPP2R1A	PPP2R5B,PPP2R1A,PPP2R5B,1.550000
PPP2R1A	PPP2R5A,PPP2R1A,PPP2R5A,1.680000
HLA-C	LILRA2,HLA-C,LILRA2,1.710000
HLA-A	LILRA2,HLA-A,LILRA2,1.710000
GNAI3	RGS19,GNAI3,RGS19,3.960000
CLTB	CLTCL1,CLTB,CLTCL1,3.150000
RB1	E2F1,RB1,E2F1,1.180000
GNAI3	RGS4,GNAI3,RGS4,3.960000
GNAT3	ADCY5,GNAT3,ADCY5,3.750000
STK3	LATS2,STK3,LATS2,2.834540
RBX1	CUL7,RBX1,CUL7,4.050000
UBB	CTTN,UBB,CTTN,4.190000
EPHA2	EPHA8,EPHA2,EPHA8,2.200000
MAPK4	MAPKAPK5,MAPK4,MAPKAPK5,2.990000
BRAF	MAP2K2,BRAF,MAP2K2,2.050000
PPP2R1A	PPP2R5C,PPP2R1A,PPP2R5C,1.680000
CDC20	BTRC,CDC20,BTRC,2.600000
SNAP25	STX1A,SNAP25,STX1A,3.130000
SUMO2	TDG,SUMO2,TDG,1.360000
HIST2H2BE	HIST1H2AJ,HIST2H2BE,HIST1H2AJ,1.070000
HLA-DQA1	HLA-DRB1,HLA-DQA1,HLA-DRB1,3.256510
KLHL2	KEAP1,KLHL2,KEAP1,3.180000
KRT18	KRT77,KRT18,KRT77,1.450000
HIST1H2AB	HIST1H2BO,HIST1H2AB,HIST1H2BO,2.550320
CCNB2	CDK1,CCNB2,CDK1,2.970000
RAC1	ARHGAP15,RAC1,ARHGAP15,2.780000
MYH3	MYH6,MYH3,MYH6,3.110000
RHOC	ARHGEF5,RHOC,ARHGEF5,3.753460
KRT15	KRT81,KRT15,KRT81,1.390000
RAC2	NCF2,RAC2,NCF2,2.000000
GNAT3	RGS16,GNAT3,RGS16,1.330000
H2AFX	HIST3H3,H2AFX,HIST3H3,3.454840
CHUK	MAP3K8,CHUK,MAP3K8,2.330000
CDH2	CTNNB1,CDH2,CTNNB1,1.200000
PDGFRA	PLCG1,PDGFRA,PLCG1,3.360000
FGF2	FGFR2,FGF2,FGFR2,2.380000
LILRA1	HLA-C,LILRA1,HLA-C,3.130000
H2AFV	HIST1H2BA,H2AFV,HIST1H2BA,3.315770
BCL9	PYGO1,BCL9,PYGO1,1.130000
CDK4	CDK6,CDK4,CDK6,6.764330
CCNT1	CDK9,CCNT1,CDK9,1.890000
F2R	GNA13,F2R,GNA13,3.355820
UBE2D3	UBA52,UBE2D3,UBA52,7.230000
HLA-C	B2M,HLA-C,B2M,3.657490
ACTB	ACTR3,ACTB,ACTR3,3.740000
RANBP2	SUMO1,RANBP2,SUMO1,4.310000
POLR2B	POLR2J,POLR2B,POLR2J,1.400000
HLA-B	LILRA2,HLA-B,LILRA2,1.710000
STON2	REPS1,STON2,REPS1,1.520000
HIST1H2BM	H2AFJ,HIST1H2BM,H2AFJ,2.743030
PPP2CB	PPP2R5C,PPP2CB,PPP2R5C,3.620000
CDK2	CDKN1A,CDK2,CDKN1A,4.080000
HLA-A	LILRA2,HLA-A,LILRA2,1.710000
HLA-C	LILRB2,HLA-C,LILRB2,1.680000
JAK3	PTK2B,JAK3,PTK2B,3.750000
KRT15	KRT84,KRT15,KRT84,2.240000
PARK2	UBE2G1,PARK2,UBE2G1,1.800000
LRSAM1	UBE2D4,LRSAM1,UBE2D4,2.110000
BCR	RAC1,BCR,RAC1,2.550000
RAC2	VAV1,RAC2,VAV1,3.350000
KRT85	KRT12,KRT85,KRT12,2.510000
HIST1H2AB	HIST1H3E,HIST1H2AB,HIST1H3E,1.320000
YWHAB	YWHAH,YWHAB,YWHAH,1.680000
RPS27A	CBLB,RPS27A,CBLB,2.330000
RGS20	GNAI2,RGS20,GNAI2,2.000000
RGS8	GNAI1,RGS8,GNAI1,1.490000
TEK	ANGPT4,TEK,ANGPT4,3.840000
UBE2K	ITCH,UBE2K,ITCH,1.310000
GINS4	GINS2,GINS4,GINS2,1.980000
GNG7	GNB2,GNG7,GNB2,1.850000
HIST1H2AB	HIST1H2BB,HIST1H2AB,HIST1H2BB,2.550320
VAV1	RAC3,VAV1,RAC3,3.350000
RAC1	OCRL,RAC1,OCRL,5.042980
GRB2	VAV3,GRB2,VAV3,3.662500
GNG7	GNB1,GNG7,GNB1,2.080000
UBA52	USP10,UBA52,USP10,7.230000
C5	C7,C5,C7,1.970000
HSP90AB1	SUGT1,HSP90AB1,SUGT1,3.100000
ISG15	UBE2N,ISG15,UBE2N,2.400000
IKBKB	PRKCQ,IKBKB,PRKCQ,2.680000
HLA-DRB1	HLA-DPA1,HLA-DRB1,HLA-DPA1,1.780000
AKT1	AKT3,AKT1,AKT3,4.700000
MAPK1	RPS6KA2,MAPK1,RPS6KA2,4.130000
SRSF5	SF3B4,SRSF5,SF3B4,1.980000
BRAF	RAP1A,BRAF,RAP1A,4.750000
GNAT3	S1PR1,GNAT3,S1PR1,4.608130
UBA52	TRIP12,UBA52,TRIP12,2.330000
UBC	CBLB,UBC,CBLB,3.376720
MAPK1	RPS6KA6,MAPK1,RPS6KA6,2.600000
CD8A	HLA-B,CD8A,HLA-B,1.880000
VAMP2	STX4,VAMP2,STX4,1.390000
PLCG1	PAK1,PLCG1,PAK1,1.690000
TUBA1C	TUBB6,TUBA1C,TUBB6,1.110000
GNB5	PDCL,GNB5,PDCL,2.880000
TRIM21	CDC34,TRIM21,CDC34,2.630000
CDC42	DOCK11,CDC42,DOCK11,1.740000
IL10	IL10RA,IL10,IL10RA,2.400000
KRT14	KRT76,KRT14,KRT76,1.420000
CD8A	HLA-A,CD8A,HLA-A,1.880000
GNAI3	GNAT2,GNAI3,GNAT2,3.080000
