SCOC	Intra-Golgi and retrograde Golgi-to-ER traffic(R)
NPC2	Neutrophil degranulation(R)
ZNF638	Transcriptional regulation of white adipocyte differentiation(R)
DSG1	Keratinization(R)
DSG1	Apoptotic execution  phase(R)
DSG1	Neutrophil degranulation(R)
OR10A2	GPCR downstream signaling(R)
DSG2	Keratinization(R)
DSG2	Apoptotic execution  phase(R)
DSG3	Keratinization(R)
DSG3	Apoptotic execution  phase(R)
OR10A4	GPCR downstream signaling(R)
DSG4	Keratinization(R)
SLC25A11	Metabolism of carbohydrates(R)
OR10A3	GPCR downstream signaling(R)
MET	Signaling by VEGF(R)
MET	Posttranslational regulation of adherens junction stability and dissassembly(N)
MET	a6b1 and a6b4 Integrin signaling(N)
MET	Signaling by EGFR(R)
MET	Signaling by Insulin receptor(R)
MET	Signaling by the B Cell Receptor (BCR)(R)
MET	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)(R)
MET	NCAM signaling for neurite out-growth(R)
MET	Signaling by Leptin(R)
MET	Signaling by Interleukins(R)
MET	Signaling events mediated by TCPTP(N)
MET	Stabilization and expansion of the E-cadherin adherens junction(N)
MET	Semaphorin interactions(R)
MET	RAF/MAP kinase cascade(R)
MET	Signaling by PDGF(R)
MET	DAP12 interactions(R)
MET	Regulation of retinoblastoma protein(N)
MET	PIP3 activates AKT signaling(R)
MET	Direct p53 effectors(N)
MET	Arf6 signaling events(N)
MET	Syndecan-1-mediated signaling events(N)
MET	RET signaling(R)
MET	Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)(N)
MET	Fc epsilon receptor (FCERI) signaling(R)
MET	Signaling by MET(R)
MET	Gastrin-CREB signalling pathway via PKC and MAPK(R)
MET	Signalling by NGF(R)
MET	Signaling by SCF-KIT(R)
OR10A6	GPCR downstream signaling(R)
OR10A5	GPCR downstream signaling(R)
FOXK2	Deubiquitination(R)
FOXK1	Deubiquitination(R)
CKMT2	Metabolism of polyamines(R)
cDNA FLJ56479, highly similar to Eukaryotic translation initiation factor 4 gamma 1 {ECO:0000313|EMB	mtor signaling pathway(B)
cDNA FLJ56479, highly similar to Eukaryotic translation initiation factor 4 gamma 1 {ECO:0000313|EMB	eukaryotic protein translation(B)
cDNA FLJ56479, highly similar to Eukaryotic translation initiation factor 4 gamma 1 {ECO:0000313|EMB	regulation of eif-4e and p70s6 kinase(B)
cDNA FLJ56479, highly similar to Eukaryotic translation initiation factor 4 gamma 1 {ECO:0000313|EMB	skeletal muscle hypertrophy is regulated via akt-mtor pathway(B)
cDNA FLJ56479, highly similar to Eukaryotic translation initiation factor 4 gamma 1 {ECO:0000313|EMB	internal ribosome entry pathway(B)
Cyclin B2 variant {ECO:0000313|EMBL:BAD96331.1}	estrogen responsive protein efp controls cell cycle and breast tumors growth(B)
CDC37L1	Response to elevated platelet cytosolic Ca2+(R)
SLC25A21	Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism(R)
SLC25A22	visual signal transduction(B)
CTHRC1	Noncanonical Wnt signaling pathway(N)
CTHRC1	Wnt signaling network(N)
MMAA	Fatty acid, triacylglycerol, and ketone body metabolism(R)
MMAA	Metabolism of water-soluble vitamins and cofactors(R)
MERTK	Cell surface interactions at the vascular wall(R)
DHODH	Metabolism of nucleotides(R)
MGP	Validated transcriptional targets of AP1 family members Fra1 and Fra2(N)
P4HB	Detoxification of Reactive Oxygen Species(R)
P4HB	Extracellular matrix organization(R)
P4HB	Hedgehog ligand biogenesis(R)
P4HB	hypoxia-inducible factor in the cardivascular system(B)
P4HB	Lipid digestion, mobilization, and transport(R)
SPON2	Beta2 integrin cell surface interactions(N)
SPON1	O-linked glycosylation(R)
ZDHHC8	Lipid digestion, mobilization, and transport(R)
ZDHHC2	Surfactant metabolism(R)
NPFF	GPCR downstream signaling(R)
NPFF	Gastrin-CREB signalling pathway via PKC and MAPK(R)
NPFF	GPCR ligand binding(R)
NSMCE3	SUMOylation(R)
NSMCE3	p75(NTR)-mediated signaling(N)
FOXH1	Regulation of nuclear SMAD2/3 signaling(N)
FOXH1	Signaling by NODAL(R)
FOXH1	TGF-beta signaling pathway(P)
FOXH1	Signaling by Activin(R)
NSMCE2	SUMOylation(R)
NSMCE1	SUMOylation(R)
MIF	Cell surface interactions at the vascular wall(R)
MIF	Neutrophil degranulation(R)
Transformation-related protein 1 {ECO:0000313|EMBL:AAO13594.1}	role of ran in mitotic spindle regulation(B)
Transformation-related protein 1 {ECO:0000313|EMBL:AAO13594.1}	cycling of ran in nucleocytoplasmic transport(B)
Transformation-related protein 1 {ECO:0000313|EMBL:AAO13594.1}	sumoylation by ranbp2 regulates transcriptional repression(B)
Transformation-related protein 1 {ECO:0000313|EMBL:AAO13594.1}	mechanism of protein import into the nucleus(B)
SFRP4	Wnt signaling pathway(P)
GNPAT	Peroxisomal lipid metabolism(R)
GNPAT	Glycerophospholipid biosynthesis(R)
SFRP1	Validated targets of C-MYC transcriptional repression(N)
SFRP1	Wnt signaling pathway(P)
SFRP1	TCF dependent signaling in response to WNT(R)
SFRP2	Wnt signaling pathway(P)
SFRP2	TCF dependent signaling in response to WNT(R)
MIP	Passive transport by Aquaporins(R)
SFRP5	Wnt signaling pathway(P)
FOXG1	Regulation of nuclear SMAD2/3 signaling(N)
EVPL	Keratinization(R)
EVPL	Validated transcriptional targets of TAp63 isoforms(N)
Complement component 5 variant {ECO:0000313|EMBL:BAD92268.1}	lectin induced complement pathway(B)
Complement component 5 variant {ECO:0000313|EMBL:BAD92268.1}	alternative complement pathway(B)
Complement component 5 variant {ECO:0000313|EMBL:BAD92268.1}	classical complement pathway(B)
APH1A	Signaling by NOTCH3(R)
APH1A	Signaling by NOTCH4(R)
APH1A	Signaling by NOTCH1(R)
APH1A	Signaling by NOTCH2(R)
APH1A	Syndecan-3-mediated signaling events(N)
APH1A	Alzheimer disease-presenilin pathway(P)
APH1A	Notch signaling pathway(P)
APH1A	Notch signaling pathway(N)
APH1A	Signaling by ERBB4(R)
APH1A	EPH-Ephrin signaling(R)
APH1A	Signalling by NGF(R)
APH1A	Presenilin action in Notch and Wnt signaling(N)
APH1A	Alzheimer disease-amyloid secretase pathway(P)
APH1A	p75(NTR)-mediated signaling(N)
SNX3	Deubiquitination(R)
SNX3	WNT ligand biogenesis and trafficking(R)
DSN1	Mitotic Metaphase and Anaphase(R)
DSN1	Signaling by Rho GTPases(R)
DSN1	Mitotic Prometaphase(R)
DSN1	Neutrophil degranulation(R)
SNX1	Posttranslational regulation of adherens junction stability and dissassembly(N)
SNX1	PAR1-mediated thrombin signaling events(N)
PEO1	Mitochondrial biogenesis(R)
APH1B	Signaling by NOTCH3(R)
APH1B	Signaling by NOTCH4(R)
APH1B	Signaling by NOTCH1(R)
APH1B	Signaling by NOTCH2(R)
APH1B	Syndecan-3-mediated signaling events(N)
APH1B	Alzheimer disease-presenilin pathway(P)
APH1B	Notch signaling pathway(P)
APH1B	Notch signaling pathway(N)
APH1B	Signaling by ERBB4(R)
APH1B	EPH-Ephrin signaling(R)
APH1B	Signalling by NGF(R)
APH1B	Presenilin action in Notch and Wnt signaling(N)
APH1B	Alzheimer disease-amyloid secretase pathway(P)
APH1B	p75(NTR)-mediated signaling(N)
COMMD9	Neutrophil degranulation(R)
SNX2	PAR1-mediated thrombin signaling events(N)
PENK	GPCR downstream signaling(R)
PENK	GPCR ligand binding(R)
PENK	AP-1 transcription factor network(N)
SNX9	Clathrin-mediated endocytosis(R)
C2orf49	tRNA processing in the nucleus(R)
CRADD	hiv-1 nef: negative effector of fas and tnf(B)
CRADD	tnfr1 signaling pathway(B)
CRADD	Ceramide signaling pathway(N)
CRADD	sodd/tnfr1 signaling pathway(B)
CRADD	tnf/stress related signaling(B)
CRADD	Caspase cascade in apoptosis(N)
CRADD	HIV-1 Nef: Negative effector of Fas and TNF-alpha(N)
CRADD	Generic Transcription Pathway(R)
CRADD	ceramide signaling pathway(B)
INTS1	RNA polymerase II transcribes snRNA genes(R)
FOXF1	FOXA2 and FOXA3 transcription factor networks(N)
INTS3	RNA polymerase II transcribes snRNA genes(R)
INTS2	RNA polymerase II transcribes snRNA genes(R)
RPE65	Visual signal transduction: Rods(N)
RPE65	Visual phototransduction(R)
RPE65	Visual signal transduction: Cones(N)
MYLPF	ErbB1 downstream signaling(N)
MYLPF	Smooth Muscle Contraction(R)
SNW1	Pre-NOTCH Expression and Processing(R)
SNW1	Signaling by TGF-beta Receptor Complex(R)
SNW1	Signaling by NOTCH1(R)
SNW1	Processing of Capped Intron-Containing Pre-mRNA(R)
SNW1	control of gene expression by vitamin d receptor(B)
SNW1	Generic Transcription Pathway(R)
INTS5	RNA polymerase II transcribes snRNA genes(R)
COL9A1	NCAM signaling for neurite out-growth(R)
COL9A1	Extracellular matrix organization(R)
COL9A1	Signaling by PDGF(R)
COL9A1	Integrin signalling pathway(P)
INTS4	RNA polymerase II transcribes snRNA genes(R)
PEMT	Glycerophospholipid biosynthesis(R)
INTS7	RNA polymerase II transcribes snRNA genes(R)
COL9A3	NCAM signaling for neurite out-growth(R)
COL9A3	Extracellular matrix organization(R)
COL9A3	Signaling by PDGF(R)
COL9A3	Integrin signalling pathway(P)
INTS6	RNA polymerase II transcribes snRNA genes(R)
COL9A2	NCAM signaling for neurite out-growth(R)
COL9A2	Extracellular matrix organization(R)
COL9A2	Signaling by PDGF(R)
COL9A2	Integrin signalling pathway(P)
INTS9	RNA polymerase II transcribes snRNA genes(R)
INTS8	RNA polymerase II transcribes snRNA genes(R)
RCOR1	Chromatin modifying enzymes(R)
RCOR1	Factors involved in megakaryocyte development and platelet production(R)
SUV39H2	Chromatin modifying enzymes(R)
MOGAT3	Fatty acid, triacylglycerol, and ketone body metabolism(R)
MOGAT2	Fatty acid, triacylglycerol, and ketone body metabolism(R)
SUV39H1	Regulation of retinoblastoma protein(N)
SUV39H1	Chromatin modifying enzymes(R)
SUV39H1	SIRT1 negatively regulates rRNA Expression(R)
BMI1	SUMOylation(R)
BMI1	Oxidative Stress Induced Senescence(R)
BMI1	Validated targets of C-MYC transcriptional activation(N)
CHRDL1	Signaling by BMP(R)
CHRDL1	BMP receptor signaling(N)
MLN	GPCR downstream signaling(R)
MLN	Gastrin-CREB signalling pathway via PKC and MAPK(R)
MLN	GPCR ligand binding(R)
ACADL	Fatty acid, triacylglycerol, and ketone body metabolism(R)
MLX	Integration of energy metabolism(R)
REV3L	DNA Damage Bypass(R)
ACADM	Fatty acid, triacylglycerol, and ketone body metabolism(R)
ACADM	FOXA2 and FOXA3 transcription factor networks(N)
UTP14A	rRNA processing(R)
FOXD3	Transcriptional regulation of pluripotent stem cells(R)
DBNL	JNK signaling in the CD4+ TCR pathway(N)
DBNL	Interactions of neurexins and neuroligins at synapses(R)
DBNL	Apoptotic execution  phase(R)
DBNL	TCR signaling in na&#xef;ve CD4+ T cells(N)
DBNL	Neutrophil degranulation(R)
MME	Metabolism of Angiotensinogen to Angiotensins(R)
MME	Neutrophil degranulation(R)
ACAD9	The citric acid (TCA) cycle and respiratory electron transport(R)
MINK1	Oxidative Stress Induced Senescence(R)
COMMD3	the prc2 complex sets long-term gene silencing through modification of histone tails(B)
COMMD3	Neutrophil degranulation(R)
OSMR	Signaling by Interleukins(R)
CSDE1	Validated targets of C-MYC transcriptional repression(N)
RABGAP1	TBC/RABGAPs(R)
SATB1	Caspase cascade in apoptosis(N)
SATB1	Apoptotic execution  phase(R)
HEATR1	rRNA processing(R)
DOT1L	Chromatin modifying enzymes(R)
Putative uncharacterized protein {ECO:0000313|EMBL:AAH29879.1}	alk in cardiac myocytes(B)
CYP2A13	Aflatoxin activation and detoxification(R)
CYP2A13	Phase 1 - Functionalization of compounds(R)
PES1	rRNA processing(R)
PERP	Validated transcriptional targets of deltaNp63 isoforms(N)
PERP	Keratinization(R)
PERP	Direct p53 effectors(N)
PERP	Validated transcriptional targets of TAp63 isoforms(N)
PERP	p53 pathway(P)
PERP	Generic Transcription Pathway(R)
NPM1	HIF-1-alpha transcription factor network(N)
NPM1	Aurora B signaling(N)
NPM1	Generic Transcription Pathway(R)
NPM1	Nucleosome assembly(R)
NPM1	Validated targets of C-MYC transcriptional activation(N)
BCR/ABL fusion	inhibition of cellular proliferation by gleevec(B)
BCR/ABL fusion	bcr signaling pathway(B)
BCR/ABL fusion	ctcf: first multivalent nuclear factor(B)
BCR/ABL fusion	integrin signaling pathway(B)
PPP1CA	t cell receptor signaling pathway(B)
PPP1CA	regulation of eif-4e and p70s6 kinase(B)
PPP1CA	regulation of pgc-1a(B)
PPP1CA	Lipid digestion, mobilization, and transport(R)
PPP1CA	fmlp induced chemokine gene expression in hmc-1 cells(B)
PPP1CA	Signaling by TGF-beta Receptor Complex(R)
PPP1CA	protein kinase a at the centrosome(B)
PPP1CA	nfkb activation by nontypeable hemophilus influenzae(B)
PPP1CA	Circadian Clock(R)
PPP1CA	akt signaling pathway(B)
PPP1CA	bcr signaling pathway(B)
PPP1CA	BMP receptor signaling(N)
PPP1CA	nitric oxide signaling pathway(B)
PPP1CA	TGF-beta receptor signaling(N)
PPP1CA	regulation of ck1/cdk5 by type 1 glutamate receptors(B)
PPP1CA	nfat and hypertrophy of the heart (B)
PPP1CA	ALK1 signaling events(N)
PPP1CA	role of mef2d in t-cell apoptosis(B)
PPP1CA	Opioid Signalling(R)
PPP1CA	endocytotic role of ndk phosphins and dynamin(B)
PPP1CA	signaling pathway from g-protein families(B)
PPP1CA	effects of calcineurin in keratinocyte differentiation(B)
DSPP	Extracellular matrix organization(R)
PER2	Circadian rhythm pathway(N)
PER2	Circadian Clock(R)
PER2	Circadian clock system(P)
ALDH4A1	Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism(R)
ALDH4A1	5-Hydroxytryptamine degredation(P)
FKBP1A	Signaling by TGF-beta Receptor Complex(R)
FKBP1A	Calcium signaling in the CD4+ TCR pathway(N)
FKBP1A	TGF-beta receptor signaling(N)
FKBP1A	ALK2 signaling events(N)
FKBP1A	ALK1 signaling events(N)
FKBP1A	Alpha-synuclein signaling(N)
FKBP1A	Role of Calcineurin-dependent NFAT signaling in lymphocytes(N)
PER1	Circadian rhythm pathway(N)
PER1	Circadian Clock(R)
PER1	Circadian clock system(P)
PER3	Circadian clock system(P)
FKBP1B	Ion channel transport(R)
FKBP1B	Cardiac conduction(R)
ESYT3	Sphingolipid metabolism(R)
ESYT2	Sphingolipid metabolism(R)
ESYT1	Sphingolipid metabolism(R)
FOXA3	FOXA1 transcription factor network(N)
FOXA3	Regulation of beta-cell development(R)
FOXA3	FOXA2 and FOXA3 transcription factor networks(N)
FOXA2	Hedgehog signaling events mediated by Gli proteins(N)
FOXA2	FOXA1 transcription factor network(N)
FOXA2	Regulation of beta-cell development(R)
FOXA2	FOXA2 and FOXA3 transcription factor networks(N)
ENGASE	Asparagine N-linked glycosylation(R)
PCDHB18P	Cadherin signaling pathway(P)
PCDHB18P	Wnt signaling pathway(P)
FOXA1	FOXA1 transcription factor network(N)
FOXA1	Direct p53 effectors(N)
FOXA1	FOXA2 and FOXA3 transcription factor networks(N)
ACAA2	Fatty acid, triacylglycerol, and ketone body metabolism(R)
MPG	Base-Excision Repair, AP Site Formation(R)
MPG	Resolution of Abasic Sites (AP sites)(R)
MPG	Validated nuclear estrogen receptor alpha network(N)
TRAC	TCR signaling(R)
TRAC	Costimulation by the CD28 family(R)
TRAC	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell(R)
MPL	Platelet Aggregation (Plug Formation)(R)
MPL	tpo signaling pathway(B)
CPOX	Metabolism of porphyrins(R)
CPOX	hemoglobins chaperone(B)
MPO	IL23-mediated signaling events(N)
MPO	C-MYB transcription factor network(N)
MPO	eicosanoid metabolism(B)
MPO	Neutrophil degranulation(R)
NPPB	alk in cardiac myocytes(B)
NPPC	Cardiac conduction(R)
CAPN9	Huntington disease(P)
CAPN6	Huntington disease(P)
CAPN7	Huntington disease(P)
NPPA	Amyloid fiber formation(R)
NPPA	Cardiac conduction(R)
NPPA	AP-1 transcription factor network(N)
NPPA	Generic Transcription Pathway(R)
CAPN5	Huntington disease(P)
CAPN2	Signaling events mediated by focal adhesion kinase(N)
CAPN2	Extracellular matrix organization(R)
CAPN2	ErbB1 downstream signaling(N)
CAPN2	Huntington disease(P)
SNIP1	Regulation of nuclear SMAD2/3 signaling(N)
SNIP1	TGF-beta signaling pathway(P)
CAPN3	Huntington disease(P)
EPPIN	Antimicrobial peptides(R)
CAPN1	mcalpain and friends in cell motility(B)
CAPN1	Keratinization(R)
CAPN1	Extracellular matrix organization(R)
CAPN1	Signaling events mediated by PTP1B(N)
CAPN1	deregulation of cdk5 in alzheimers disease(B)
CAPN1	erk and pi-3 kinase are necessary for collagen binding in corneal epithelia(B)
CAPN1	Huntington disease(P)
CAPN1	Neutrophil degranulation(R)
CAPN1	integrin signaling pathway(B)
CAPN1	ucalpain and friends in cell spread(B)
CAPN1	role of mef2d in t-cell apoptosis(B)
ACAA1	Peroxisomal lipid metabolism(R)
ACAA1	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism(R)
ACAA1	Neutrophil degranulation(R)
EOMES	Downstream signaling in na&#xef;ve CD8+ T cells(N)
EOMES	IL12-mediated signaling events(N)
ZBP1	Cytosolic sensors of pathogen-associated DNA (R)
PCOLCE	Extracellular matrix organization(R)
RPGRIP1L	Hedgehog 'off' state(R)
RPGRIP1L	Cilium Assembly(R)
WBP11	Processing of Capped Intron-Containing Pre-mRNA(R)
NPNT	Beta1 integrin cell surface interactions(N)
IL-18	ras-independent pathway in nk cell-mediated cytotoxicity(B)
DPEP1	Aflatoxin activation and detoxification(R)
DPEP1	Arachidonic acid metabolism(R)
RBM8A	RNA Polymerase II Transcription(R)
RBM8A	Nonsense-Mediated Decay (NMD)(R)
RBM8A	Processing of Capped Intron-Containing Pre-mRNA(R)
ARHGEF26	Signaling by Rho GTPases(R)
ARHGEF26	GPCR downstream signaling(R)
ARHGEF26	Signalling by NGF(R)
ARHGEF25	Regulation of RAC1 activity(N)
ARHGEF25	GPCR downstream signaling(R)
ARHGEF25	Gastrin-CREB signalling pathway via PKC and MAPK(R)
ARHGEF25	Regulation of CDC42 activity(N)
ARHGEF25	Regulation of RhoA activity(N)
NPR1	Cardiac conduction(R)
NPR2	Cardiac conduction(R)
ARHGEF28	EPH-Ephrin signaling(R)
ARHGEF28	Signaling events mediated by focal adhesion kinase(N)
ARHGEF28	Regulation of RhoA activity(N)
KIR2DL1	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell(R)
KIR2DL2	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell(R)
ACACB	Integration of energy metabolism(R)
ACACB	Regulation of cholesterol biosynthesis by SREBP (SREBF)(R)
ACACB	Metabolism of water-soluble vitamins and cofactors(R)
KIR2DL3	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell(R)
KIR2DL4	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell(R)
ACACA	Integration of energy metabolism(R)
ACACA	Fatty acid, triacylglycerol, and ketone body metabolism(R)
ACACA	Regulation of cholesterol biosynthesis by SREBP (SREBF)(R)
ACACA	Metabolism of water-soluble vitamins and cofactors(R)
UTP20	rRNA processing(R)
TAC3	GPCR downstream signaling(R)
TAC3	Gastrin-CREB signalling pathway via PKC and MAPK(R)
TAC3	GPCR ligand binding(R)
TAC1	GPCR downstream signaling(R)
TAC1	Gastrin-CREB signalling pathway via PKC and MAPK(R)
TAC1	GPCR ligand binding(R)
BCL9L	TCF dependent signaling in response to WNT(R)
ZFHX3	C-MYB transcription factor network(N)
HMGA1	il 4 signaling pathway(B)
HMGA1	DNA Damage/Telomere Stress Induced Senescence(R)
HMGA1	IL4-mediated signaling events(N)
HMGA1	Validated targets of C-MYC transcriptional activation(N)
MSN	RhoA signaling pathway(N)
MSN	Plasma membrane estrogen receptor signaling(N)
HMGA2	DNA Damage/Telomere Stress Induced Senescence(R)
cDNA FLJ50718, highly similar to Acetyl-CoA carboxylase 1 (EC 6.4.1.2) {ECO:0000313|EMBL:BAG63071.1}	reversal of insulin resistance by leptin(B)
BMP7	ALK2 signaling events(N)
BMP7	alk in cardiac myocytes(B)
BMP7	Extracellular matrix organization(R)
BMP7	TGF-beta signaling pathway(P)
BMP7	BMP receptor signaling(N)
BMP6	TGF-beta signaling pathway(P)
BMP6	BMP receptor signaling(N)
BMP5	alk in cardiac myocytes(B)
BMP5	TGF-beta signaling pathway(P)
BMP4	alk in cardiac myocytes(B)
BMP4	Extracellular matrix organization(R)
BMP4	TGF-beta signaling pathway(P)
BMP4	BMP receptor signaling(N)
BMP3	TGF-beta signaling pathway(P)
BMP2	Signaling by BMP(R)
BMP2	alk in cardiac myocytes(B)
BMP2	Extracellular matrix organization(R)
BMP2	TGF-beta signaling pathway(P)
BMP2	BMP receptor signaling(N)
BMP1	Extracellular matrix organization(R)
BMP1	Lipid digestion, mobilization, and transport(R)
CPS1	Metabolism of polyamines(R)
TAB3	TNF signaling(R)
TAB3	Fc epsilon receptor (FCERI) signaling(R)
TAB3	Signaling by Interleukins(R)
TAB3	Toll-Like Receptors Cascades(R)
TAB3	C-type lectin receptors (CLRs)(R)
TAB3	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways(R)
TAB2	p38 MAPK signaling pathway(N)
TAB2	TNF receptor signaling pathway(N)
TAB2	C-type lectin receptors (CLRs)(R)
TAB2	IL1-mediated signaling events(N)
TAB2	C-MYB transcription factor network(N)
TAB2	Signaling by Interleukins(R)
TAB2	BMP receptor signaling(N)
TAB2	TGF-beta receptor signaling(N)
TAB2	TCR signaling(R)
TAB2	Noncanonical Wnt signaling pathway(N)
TAB2	ErbB4 signaling events(N)
TAB2	TNF signaling(R)
TAB2	Fc epsilon receptor (FCERI) signaling(R)
TAB2	Signaling by ERBB4(R)
TAB2	Toll-Like Receptors Cascades(R)
TAB2	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways(R)
TAB1	p38 MAPK signaling pathway(N)
TAB1	TNF receptor signaling pathway(N)
TAB1	TGF-beta signaling pathway(P)
TAB1	C-type lectin receptors (CLRs)(R)
TAB1	IL1-mediated signaling events(N)
TAB1	C-MYB transcription factor network(N)
TAB1	Signaling by Interleukins(R)
TAB1	Presenilin action in Notch and Wnt signaling(N)
TAB1	BMP receptor signaling(N)
TAB1	TGF-beta receptor signaling(N)
TAB1	Noncanonical Wnt signaling pathway(N)
TAB1	Deubiquitination(R)
TAB1	TNF signaling(R)
TAB1	Fc epsilon receptor (FCERI) signaling(R)
TAB1	Toll-Like Receptors Cascades(R)
TAB1	Regulation of p38-alpha and p38-beta(N)
TAB1	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways(R)
LAMC3	Extracellular matrix organization(R)
HMGB2	apoptotic dna-fragmentation and tissue homeostasis(B)
HMGB2	granzyme a mediated apoptosis pathway(B)
HMGB2	Apoptotic execution  phase(R)
ATP2A3	Pre-NOTCH Expression and Processing(R)
ATP2A3	Platelet homeostasis(R)
ATP2A3	nfat and hypertrophy of the heart (B)
ATP2A3	Ion channel transport(R)
ATP2A3	Cardiac conduction(R)
ATP2A2	Pre-NOTCH Expression and Processing(R)
ATP2A2	Platelet homeostasis(R)
ATP2A2	Ion channel transport(R)
ATP2A2	Cardiac conduction(R)
LAMC2	agrin in postsynaptic differentiation(B)
LAMC2	Beta1 integrin cell surface interactions(N)
LAMC2	Alpha6 beta4 integrin-ligand interactions(N)
LAMC2	Cell junction organization(R)
LAMC2	Extracellular matrix organization(R)
LAMC2	prion pathway(B)
MTR	Phase II conjugation(R)
MTR	Sulfur amino acid metabolism(R)
MTR	Metabolism of water-soluble vitamins and cofactors(R)
ATP2A1	Pre-NOTCH Expression and Processing(R)
ATP2A1	Platelet homeostasis(R)
ATP2A1	nfat and hypertrophy of the heart (B)
ATP2A1	Ion channel transport(R)
ATP2A1	Cardiac conduction(R)
HMGB1	Beta3 integrin cell surface interactions(N)
HMGB1	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways(R)
HMGB1	Endogenous TLR signaling(N)
HMGB1	amb2 Integrin signaling(N)
HMGB1	Toll-Like Receptors Cascades(R)
HMGB1	Advanced glycosylation endproduct receptor signaling(R)
HMGB1	Apoptotic execution  phase(R)
HMGB1	Neutrophil degranulation(R)
HMGB1	Cytosolic sensors of pathogen-associated DNA (R)
LAMC1	Alpha6 beta4 integrin-ligand interactions(N)
LAMC1	Extracellular matrix organization(R)
LAMC1	prion pathway(B)
LAMC1	agrin in postsynaptic differentiation(B)
LAMC1	Beta3 integrin cell surface interactions(N)
LAMC1	Beta1 integrin cell surface interactions(N)
LAMC1	Regulation of nuclear SMAD2/3 signaling(N)
LAMC1	L1CAM interactions(R)
SEC61A2	Unfolded Protein Response (UPR)(R)
SEC61A2	Class I MHC mediated antigen processing & presentation(R)
SEC61A1	Unfolded Protein Response (UPR)(R)
SEC61A1	er associated degradation (erad) pathway(B)
SEC61A1	Class I MHC mediated antigen processing & presentation(R)
CPT2	Fatty acid, triacylglycerol, and ketone body metabolism(R)
GPER1	GPCR downstream signaling(R)
GPER1	GPCR ligand binding(R)
NPTN	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell(R)
UQCRFS1	The citric acid (TCA) cycle and respiratory electron transport(R)
LRRFIP1	Cytosolic sensors of pathogen-associated DNA (R)
ZNF385A	Direct p53 effectors(N)
ZNF385A	Cell Cycle Checkpoints(R)
ZNF385A	Generic Transcription Pathway(R)
HS3ST3B1	Metabolism of carbohydrates(R)
ARHGEF11	Signaling by Rho GTPases(R)
ARHGEF11	GPCR downstream signaling(R)
ARHGEF11	Signaling events mediated by focal adhesion kinase(N)
ARHGEF11	Signalling by NGF(R)
ARHGEF11	Semaphorin interactions(R)
ARHGEF11	Regulation of RhoA activity(N)
UTP15	rRNA processing(R)
BCKDHA	Glyoxylate metabolism and glycine degradation(R)
BCKDHA	Branched-chain amino acid catabolism(R)
ARHGEF10	Regulation of RhoA activity(N)
RBM17	Processing of Capped Intron-Containing Pre-mRNA(R)
NAA30	Intra-Golgi and retrograde Golgi-to-ER traffic(R)
MMP7	Extracellular matrix organization(R)
MMP7	Alzheimer disease-presenilin pathway(P)
MMP7	Syndecan-1-mediated signaling events(N)
MMP7	Posttranslational regulation of adherens junction stability and dissassembly(N)
MMP7	p75(NTR)-mediated signaling(N)
MMP7	Wnt signaling pathway(P)
ARHGEF12	Signaling by Rho GTPases(R)
ARHGEF12	GPCR downstream signaling(R)
ARHGEF12	Signalling by NGF(R)
ARHGEF12	Semaphorin interactions(R)
ARHGEF12	Regulation of RhoA activity(N)
UTP11	rRNA processing(R)
DYNLT1	Neurotrophic factor-mediated Trk receptor signaling(N)
DYNLT1	Lissencephaly gene (LIS1) in neuronal migration and development(N)
DYNLT1	Neutrophil degranulation(R)
ARHGEF15	EPHA forward signaling(N)
ARHGEF15	Regulation of RhoA activity(N)
MMP1	Cell surface interactions at the vascular wall(R)
MMP1	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)(R)
MMP1	Extracellular matrix organization(R)
MMP1	Alzheimer disease-presenilin pathway(P)
MMP1	Syndecan-1-mediated signaling events(N)
MMP1	Plasminogen activating cascade(P)
MMP1	Glucocorticoid receptor regulatory network(N)
MMP1	Signaling by Interleukins(R)
MMP1	Endothelins(N)
MMP1	Validated transcriptional targets of AP1 family members Fra1 and Fra2(N)
MMP1	AP-1 transcription factor network(N)
ARHGEF17	Signaling by Rho GTPases(R)
ARHGEF17	GPCR downstream signaling(R)
ARHGEF17	Signalling by NGF(R)
ARHGEF17	Regulation of RhoA activity(N)
